,url
302,6987054
303,6987053
304,6987052
305,6987051
306,6987050
307,6987049
308,6987048
309,6987047
310,6987046
311,6987045
312,6987044
313,6987043
314,6987042
315,6987041
316,6987040
317,6987039
318,6987038
319,6987037
320,6987036
321,6987035
322,6987034
323,6987033
324,6987032
325,6987031
326,6987030
327,6987029
328,6987028
329,6987027
330,6987026
331,6987025
332,6987024
333,6987023
334,6987022
335,6987021
336,6987020
337,6987019
338,6987018
339,6987017
340,6987016
341,6987015
342,6987014
343,6987013
344,6987012
345,6987011
346,6987010
347,6987009
348,6987008
349,6987007
350,6987006
351,6987005
352,6987004
353,6987003
354,6987002
355,6987001
356,6987000
357,6986999
358,6986998
359,6986997
360,6986996
361,6986995
362,6986994
363,6986993
364,6986992
365,6986991
366,6986990
367,6986989
368,6986988
369,6986987
370,6986986
371,6986985
372,6986984
373,6986983
374,6986982
375,6986981
376,6986980
377,6986979
378,6986978
379,6986977
380,6986976
381,6986975
382,6986974
383,6986973
384,6986972
385,6986971
386,6986970
387,6986969
388,6986968
389,6986967
390,6986966
391,6986965
392,6986964
393,6986963
394,6986962
395,6986961
396,6986960
397,6986959
398,6986957
399,6986956
400,6986955
401,6986954
402,6986953
403,6986952
404,6986951
405,6986950
406,6986949
407,6986948
408,6986947
409,6986946
410,6986945
411,6986944
412,6986943
413,6986942
414,6986941
415,6986940
416,6986939
417,6986938
418,6986937
419,6986936
420,6986935
421,6986934
422,6986933
423,6986932
424,6986931
425,6986930
426,6986929
427,6986928
428,6986927
429,6986926
430,6986925
431,6986924
432,6986923
433,6986922
434,6986921
435,6986920
436,6986919
437,6986918
438,6986917
439,6986916
440,6986915
441,6986914
442,6986913
443,6986912
444,6986911
445,6986910
446,6986909
447,6986908
448,6986907
449,6986906
450,6986905
451,6986904
452,6986903
453,6986902
454,6986901
455,6986900
456,6986899
457,6986898
458,6986897
459,6986896
460,6986895
461,6986894
462,6986893
463,6986892
464,6986891
465,6986890
466,6986889
467,6986888
468,6986887
469,6986886
470,6986885
471,6986884
472,6986883
473,6986882
474,6986881
475,6986880
476,6986879
477,6986878
478,6986877
479,6986876
480,6986875
481,6986874
482,6986873
483,6986872
484,6986871
485,6986870
486,6986869
487,6986868
488,6986867
489,6986866
490,6986865
491,6986864
492,6986863
493,6986862
494,6986861
495,6986860
496,6986859
497,6986858
498,6986857
499,6986856
500,6986855
501,6986854
502,6986853
503,6986852
504,6986851
505,6986850
506,6986849
507,6986848
508,6986847
509,6986846
510,6986845
511,6986844
512,6986843
513,6986842
514,6986841
515,6986840
516,6986839
517,6986838
518,6986837
519,6986836
520,6986835
521,6986834
522,6986833
523,6986832
524,6986831
525,6986830
526,6986829
527,6986828
528,6986827
529,6986826
530,6986825
531,6986824
532,6986823
533,6986822
534,6986821
535,6986820
536,6986819
537,6986818
538,6986817
539,6986816
540,6986815
541,6986814
542,6986812
543,6986811
544,6986810
545,6986809
546,6986808
547,6986807
548,6986806
549,6986805
550,6986804
551,6986803
552,6986802
553,6986801
554,6986800
555,6986799
556,6986798
557,6986797
558,6986796
559,6986795
560,6986794
561,6986793
562,6986792
563,6986791
564,6986790
565,6986789
566,6986788
567,6986787
568,6986786
569,6986785
570,6986784
571,6986783
572,6986782
573,6986781
574,6986780
575,6986779
576,6986778
577,6986777
578,6986776
579,6986775
580,6986774
581,6986773
582,6986772
583,6986771
584,6986770
585,6986769
586,6986768
587,6986767
588,6986766
589,6986765
590,6986764
591,6986763
592,6986762
593,6986761
594,6986760
595,6986759
596,6986758
597,6986757
598,6986756
599,6986755
600,6986754
601,6986753
602,6986752
603,6986751
604,6986750
605,6986749
606,6986748
607,6986747
608,6986746
609,6986745
610,6986744
611,6986743
612,6986742
613,6986741
614,6986740
615,6986739
616,6986738
617,6986737
618,6986736
619,6986735
620,6986734
621,6986733
622,6986732
623,6986731
624,6986730
625,6986729
626,6986728
627,6986727
628,6986726
629,6986725
630,6986724
631,6986723
632,6986722
633,6986721
634,6986720
635,6986719
636,6986718
637,6986717
638,6986716
639,6986715
640,6986714
641,6986713
642,6986712
643,6986711
644,6986710
645,6986709
646,6986708
647,6986707
648,6986706
649,6986705
650,6986704
651,6986703
652,6986702
653,6986701
654,6986700
655,6986699
656,6986698
657,6986697
658,6986696
659,6986695
660,6986694
661,6986693
662,6986692
663,6986691
664,6986690
665,6986689
666,6986688
667,6986687
668,6986686
669,6986685
670,6986684
671,6986683
672,6986682
673,6986681
674,6986680
675,6986679
676,6986678
677,6986677
678,6986676
679,6986675
680,6986674
681,6986673
682,6986672
683,6986671
684,6986670
685,6986669
686,6986668
687,6986667
688,6986666
689,6986665
690,6986664
691,6986663
692,6986662
693,6986661
694,6986660
695,6986659
696,6986658
697,6986657
698,6986656
699,6986655
700,6986654
701,6986653
702,6986652
703,6986651
704,6986650
705,6986649
706,6986648
707,6986647
708,6986646
709,6986645
710,6986644
711,6986643
712,6986642
713,6986641
714,6986640
715,6986639
716,6986638
717,6986637
718,6986636
719,6986635
720,6986634
721,6986633
722,6986632
723,6986631
724,6986630
725,6986629
726,6986628
727,6986627
728,6986626
729,6986625
730,6986624
731,6986623
732,6986622
733,6986621
734,6986620
735,6986619
736,6986618
737,6986617
738,6986616
739,6986615
740,6986614
741,6986613
742,6986612
743,6986611
744,6986610
745,6986609
746,6986608
747,6986607
748,6986606
749,6986605
750,6986604
751,6986603
752,6986602
753,6986601
754,6986600
755,6986599
756,6986598
757,6986597
758,6986596
759,6986595
760,6986594
761,6986593
762,6986592
763,6986591
764,6986590
765,6986589
766,6986588
767,6986587
768,6986586
769,6986585
770,6986584
771,6986583
772,6986582
773,6986581
774,6986580
775,6986579
776,6986578
777,6986577
778,6986576
779,6986575
780,6986574
781,6986573
782,6986572
783,6986571
784,6986570
785,6986569
786,6986568
787,6986567
788,6986566
789,6986565
790,6986564
791,6986563
792,6986562
793,6986561
794,6986560
795,6986559
796,6986558
797,6986557
798,6986556
799,6986555
800,6986554
801,6986553
802,6986552
803,6986551
804,6986550
805,6986549
806,6986548
807,6986547
808,6986546
809,6986545
810,6986544
811,6986543
812,6986542
813,6986541
814,6986540
815,6986539
816,6986538
817,6986537
818,6986536
819,6986535
820,6986534
821,6986533
822,6986532
823,6986531
824,6986530
825,6986529
826,6986528
827,6986527
828,6986526
829,6986525
830,6986524
831,6986523
832,6986522
833,6986521
834,6986520
835,6986519
836,6986518
837,6986517
838,6986513
839,6986512
840,6986511
841,6986510
842,6986509
843,6986508
844,6986507
845,6986506
846,6986505
847,6986504
848,6986503
849,6986502
850,6986501
851,6986500
852,6986499
853,6986498
854,6986496
855,6986495
856,6986494
857,6986492
858,6986491
859,6986490
860,6986489
861,6986488
862,6986487
863,6986486
864,6986485
865,6986484
866,6986483
867,6986482
868,6986481
869,6986480
870,6986479
871,6986478
872,6986477
873,6986476
874,6986475
875,6986474
876,6986473
877,6986472
878,6986471
879,6986470
880,6986469
881,6986468
882,6986467
883,6986466
884,6986465
885,6986464
886,6986463
887,6986462
888,6986461
889,6986460
890,6986459
891,6986458
892,6986457
893,6986456
894,6986455
895,6986454
896,6986453
897,6986452
898,6986451
899,6986450
900,6986449
901,6986448
902,6986447
903,6986446
904,6986445
905,6986444
906,6986443
907,6986442
908,6986441
909,6986440
910,6986439
911,6986438
912,6986437
913,6986436
914,6986435
915,6986434
916,6986433
917,6986432
918,6986431
919,6986430
920,6986429
921,6986428
922,6986427
923,6986426
924,6986425
925,6986424
926,6986423
927,6986422
928,6986421
929,6986420
930,6986419
931,6986418
932,6986417
933,6986416
934,6986415
935,6986414
936,6986413
937,6986412
938,6986411
939,6986410
940,6986407
941,6986406
942,6986405
943,6986404
944,6986403
945,6986402
946,6986401
947,6986400
948,6986399
949,6986398
950,6986397
951,6986396
952,6986395
953,6986394
954,6986393
955,6986392
956,6986391
957,6986390
958,6986389
959,6986388
960,6986387
961,6986386
962,6986385
963,6986384
964,6986383
965,6986382
966,6986381
967,6986379
968,6986378
969,6986377
970,6986376
971,6986375
972,6986374
973,6986373
974,6986372
975,6986371
976,6986370
977,6986369
978,6986368
979,6986367
980,6986366
981,6986365
982,6986364
983,6986363
984,6986362
985,6986361
986,6986360
987,6986359
988,6986358
989,6986357
990,6986356
991,6986355
992,6986354
993,6986353
994,6986352
995,6986351
996,6986350
997,6986349
998,6986348
999,6986347
1000,6986346
1001,6986345
1002,6986344
1003,6986343
1004,6986342
1005,6986341
1006,6986340
1007,6986339
1008,6986338
1009,6986337
1010,6986336
1011,6986335
1012,6986334
1013,6986333
1014,6986332
1015,6986331
1016,6986330
1017,6986329
1018,6986328
1019,6986327
1020,6986326
1021,6986325
1022,6986324
1023,6986323
1024,6986322
1025,6986321
1026,6986320
1027,6986319
1028,6986318
1029,6986317
1030,6986316
1031,6986315
1032,6986314
1033,6986313
1034,6986312
1035,6986311
1036,6986310
1037,6986309
1038,6986308
1039,6986307
1040,6986306
1041,6986305
1042,6986304
1043,6986303
1044,6986302
1045,6986301
1046,6986299
1047,6986298
1048,6986297
1049,6986296
1050,6986295
1051,6986294
1052,6986293
1053,6986292
1054,6986291
1055,6986290
1056,6986289
1057,6986288
1058,6986287
1059,6986286
1060,6986285
1061,6986284
1062,6986283
1063,6986282
1064,6986281
1065,6986280
1066,6986279
1067,6986278
1068,6986277
1069,6986276
1070,6986275
1071,6986274
1072,6986273
1073,6986272
1074,6986271
1075,6986270
1076,6986269
1077,6986268
1078,6986267
1079,6986266
1080,6986265
1081,6986264
1082,6986263
1083,6986262
1084,6986261
1085,6986260
1086,6986259
1087,6986258
1088,6986257
1089,6986256
1090,6986255
1091,6986254
1092,6986253
1093,6986252
1094,6986251
1095,6986250
1096,6986249
1097,6986248
1098,6986247
1099,6986246
1100,6986245
1101,6986244
1102,6986243
1103,6986242
1104,6986241
1105,6986240
1106,6986239
1107,6986238
1108,6986237
1109,6986236
1110,6986235
1111,6986234
1112,6986233
1113,6986232
1114,6986231
1115,6986228
1116,6986227
1117,6986226
1118,6986225
1119,6986224
1120,6986223
1121,6986222
1122,6986221
1123,6986220
1124,6986219
1125,6986218
1126,6986217
1127,6986216
1128,6986215
1129,6986214
1130,6986213
1131,6986212
1132,6986211
1133,6986210
1134,6986209
1135,6986208
1136,6986207
1137,6986206
1138,6986205
1139,6986204
1140,6986203
1141,6986202
1142,6986201
1143,6986200
1144,6986199
1145,6986198
1146,6986197
1147,6986196
1148,6986195
1149,6986194
1150,6986193
1151,6986192
1152,6986191
1153,6986190
1154,6986189
1155,6986188
1156,6986187
1157,6986186
1158,6986185
1159,6986184
1160,6986183
1161,6986182
1162,6986181
1163,6986180
1164,6986179
1165,6986178
1166,6986177
1167,6986176
1168,6986175
1169,6986174
1170,6986173
1171,6986172
1172,6986171
1173,6986170
1174,6986169
1175,6986168
1176,6986167
1177,6986166
1178,6986165
1179,6986164
1180,6986163
1181,6986162
1182,6986161
1183,6986160
1184,6986159
1185,6986158
1186,6986157
1187,6986156
1188,6986155
1189,6986154
1190,6986153
1191,6986152
1192,6986151
1193,6986150
1194,6986149
1195,6986148
1196,6986147
1197,6986146
1198,6986145
1199,6986144
1200,6986143
1201,6986142
1202,6986141
1203,6986140
1204,6986139
1205,6986138
1206,6986137
1207,6986136
1208,6986135
1209,6986134
1210,6986133
1211,6986132
1212,6986131
1213,6986130
1214,6986129
1215,6986127
1216,6986126
1217,6986125
1218,6986124
1219,6986123
1220,6986122
1221,6986121
1222,6986120
1223,6986119
1224,6986118
1225,6986117
1226,6986116
1227,6986115
1228,6986114
1229,6986113
1230,6986112
1231,6986111
1232,6986110
1233,6986109
1234,6986108
1235,6986107
1236,6986106
1237,6986105
1238,6986104
1239,6986103
1240,6986102
1241,6986101
1242,6986100
1243,6986099
1244,6986098
1245,6986097
1246,6986096
1247,6986095
1248,6986094
1249,6986093
1250,6986092
1251,6986091
1252,6986090
1253,6986089
1254,6986088
1255,6986087
1256,6986086
1257,6986085
1258,6986084
1259,6986083
1260,6986082
1261,6986081
1262,6986080
1263,6986079
1264,6986078
1265,6986077
1266,6986076
1267,6986075
1268,6986074
1269,6986073
1270,6986072
1271,6986071
1272,6986070
1273,6986069
1274,6986068
1275,6986067
1276,6986066
1277,6986065
1278,6986064
1279,6986063
1280,6986062
1281,6986061
1282,6986060
1283,6986059
1284,6986058
1285,6986057
1286,6986056
1287,6986055
1288,6986054
1289,6986053
1290,6986052
1291,6986051
1292,6986050
1293,6986049
1294,6986048
1295,6986047
1296,6986046
1297,6986045
1298,6986044
1299,6986043
1300,6986042
1301,6986041
1302,6986040
1303,6986039
1304,6986038
1305,6986037
1306,6986036
1307,6986035
1308,6986034
1309,6986033
1310,6986032
1311,6986031
1312,6986030
1313,6986029
1314,6986028
1315,6986027
1316,6986026
1317,6986025
1318,6986024
1319,6986023
1320,6986022
1321,6986021
1322,6986020
1323,6986019
1324,6986018
1325,6986017
1326,6986016
1327,6986015
1328,6986014
1329,6986013
1330,6986012
1331,6986011
1332,6986010
1333,6986009
1334,6986007
1335,6986006
1336,6986005
1337,6986004
1338,6986003
1339,6986002
1340,6986001
1341,6986000
1342,6985999
1343,6985998
1344,6985997
1345,6985996
1346,6985995
1347,6985994
1348,6985993
1349,6985992
1350,6985991
1351,6985990
1352,6985989
1353,6985988
1354,6985987
1355,6985986
1356,6985985
1357,6985984
1358,6985983
1359,6985982
1360,6985980
1361,6985979
1362,6985978
1363,6985977
1364,6985976
1365,6985975
1366,6985973
1367,6985972
1368,6985971
1369,6985970
1370,6985969
1371,6985968
1372,6985965
1373,6985963
1374,6985962
1375,6985961
1376,6985960
1377,6985959
1378,6985958
1379,6985957
1380,6985956
1381,6985955
1382,6985954
1383,6985953
1384,6985952
1385,6985951
1386,6985950
1387,6985949
1388,6985948
1389,6985947
1390,6985946
1391,6985945
1392,6985944
1393,6985943
1394,6985942
1395,6985941
1396,6985940
1397,6985939
1398,6985938
1399,6985937
1400,6985936
1401,6985935
1402,6985934
1403,6985933
1404,6985932
1405,6985931
1406,6985930
1407,6985929
1408,6985928
1409,6985927
1410,6985926
1411,6985925
1412,6985924
1413,6985923
1414,6985922
1415,6985921
1416,6985920
1417,6985919
1418,6985918
1419,6985917
1420,6985916
1421,6985915
1422,6985914
1423,6985913
1424,6985912
1425,6985911
1426,6985910
1427,6985909
1428,6985908
1429,6985907
1430,6985906
1431,6985905
1432,6985904
1433,6985903
1434,6985902
1435,6985901
1436,6985900
1437,6985899
1438,6985898
1439,6985897
1440,6985896
1441,6985895
1442,6985894
1443,6985893
1444,6985892
1445,6985891
1446,6985890
1447,6985889
1448,6985888
1449,6985887
1450,6985886
1451,6985885
1452,6985884
1453,6985883
1454,6985882
1455,6985881
1456,6985880
1457,6985879
1458,6985878
1459,6985877
1460,6985876
1461,6985875
1462,6985874
1463,6985873
1464,6985872
1465,6985871
1466,6985870
1467,6985869
1468,6985868
1469,6985867
1470,6985866
1471,6985865
1472,6985864
1473,6985863
1474,6985862
1475,6985861
1476,6985860
1477,6985859
1478,6985858
1479,6985857
1480,6985856
1481,6985855
1482,6985854
1483,6985853
1484,6985852
1485,6985851
1486,6985850
1487,6985848
1488,6985847
1489,6985846
1490,6985845
1491,6985844
1492,6985843
1493,6985842
1494,6985841
1495,6985840
1496,6985839
1497,6985838
1498,6985837
1499,6985836
1500,6985835
1501,6985834
1502,6985833
1503,6985832
1504,6985831
1505,6985830
1506,6985829
1507,6985828
1508,6985827
1509,6985826
1510,6985825
1511,6985824
1512,6985823
1513,6985822
1514,6985821
1515,6985820
1516,6985819
1517,6985818
1518,6985817
1519,6985816
1520,6985815
1521,6985814
1522,6985813
1523,6985812
1524,6985811
1525,6985809
1526,6985808
1527,6985807
1528,6985806
1529,6985805
1530,6985804
1531,6985803
1532,6985802
1533,6985801
1534,6985800
1535,6985799
1536,6985798
1537,6985797
1538,6985796
1539,6985795
1540,6985794
1541,6985793
1542,6985792
1543,6985791
1544,6985790
1545,6985789
1546,6985788
1547,6985787
1548,6985786
1549,6985785
1550,6985784
1551,6985783
1552,6985782
1553,6985781
1554,6985780
1555,6985779
1556,6985778
1557,6985777
1558,6985776
1559,6985775
1560,6985774
1561,6985773
1562,6985772
1563,6985771
1564,6985770
1565,6985769
1566,6985768
1567,6985767
1568,6985766
1569,6985765
1570,6985764
1571,6985763
1572,6985762
1573,6985761
1574,6985760
1575,6985759
1576,6985758
1577,6985757
1578,6985756
1579,6985755
1580,6985754
1581,6985753
1582,6985752
1583,6985751
1584,6985750
1585,6985749
1586,6985748
1587,6985747
1588,6985746
1589,6985745
1590,6985744
1591,6985743
1592,6985742
1593,6985741
1594,6985740
1595,6985739
1596,6985738
1597,6985737
1598,6985736
1599,6985735
1600,6985734
1601,6985733
1602,6985732
1603,6985731
1604,6985730
1605,6985729
1606,6985728
1607,6985727
1608,6985726
1609,6985725
1610,6985724
1611,6985723
1612,6985722
1613,6985721
1614,6985720
1615,6985719
1616,6985718
1617,6985717
1618,6985716
1619,6985715
1620,6985714
1621,6985713
1622,6985712
1623,6985711
1624,6985710
1625,6985709
1626,6985708
1627,6985707
1628,6985706
1629,6985705
1630,6985704
1631,6985703
1632,6985702
1633,6985701
1634,6985700
1635,6985699
1636,6985698
1637,6985697
1638,6985696
1639,6985695
1640,6985694
1641,6985693
1642,6985692
1643,6985691
1644,6985690
1645,6985689
1646,6985688
1647,6985687
1648,6985686
1649,6985685
1650,6985684
1651,6985683
1652,6985682
1653,6985681
1654,6985680
1655,6985678
1656,6985677
1657,6985676
1658,6985675
1659,6985674
1660,6985673
1661,6985672
1662,6985671
1663,6985670
1664,6985669
1665,6985668
1666,6985667
1667,6985666
1668,6985665
1669,6985664
1670,6985663
1671,6985661
1672,6985660
1673,6985659
1674,6985658
1675,6985657
1676,6985656
1677,6985655
1678,6985654
1679,6985653
1680,6985652
1681,6985651
1682,6985650
1683,6985649
1684,6985648
1685,6985647
1686,6985646
1687,6985644
1688,6985643
1689,6985642
1690,6985641
1691,6985640
1692,6985639
1693,6985638
1694,6985637
1695,6985636
1696,6985635
1697,6985634
1698,6985633
1699,6985632
1700,6985630
1701,6985629
1702,6985628
1703,6985627
1704,6985625
1705,6985624
1706,6985623
1707,6985622
1708,6985620
1709,6985616
1710,6985615
1711,6985614
1712,6985613
1713,6985612
1714,6985610
1715,6985609
1716,6985608
1717,6985607
1718,6985605
1719,6985604
1720,6985603
1721,6985602
1722,6985601
1723,6985600
1724,6985599
1725,6985598
1726,6985597
1727,6985596
1728,6985595
1729,6985594
1730,6985593
1731,6985592
1732,6985591
1733,6985590
1734,6985589
1735,6985588
1736,6985586
1737,6985582
1738,6985581
1739,6985580
1740,6985579
1741,6985578
1742,6985577
1743,6985576
1744,6985575
1745,6985574
1746,6985573
1747,6985572
1748,6985570
1749,6985569
1750,6985568
1751,6985567
1752,6985566
1753,6985565
1754,6985563
1755,6985561
1756,6985560
1757,6985559
1758,6985558
1759,6985557
1760,6985556
1761,6985554
1762,6985553
1763,6985552
1764,6985551
1765,6985550
1766,6985549
1767,6985548
1768,6985547
1769,6985546
1770,6985545
1771,6985544
1772,6985543
1773,6985542
1774,6985541
1775,6985540
1776,6985539
1777,6985538
1778,6985537
1779,6985536
1780,6985535
1781,6985534
1782,6985533
1783,6985532
1784,6985531
1785,6985530
1786,6985529
1787,6985528
1788,6985527
1789,6985526
1790,6985525
1791,6985524
1792,6985523
1793,6985522
1794,6985521
1795,6985520
1796,6985519
1797,6985518
1798,6985517
1799,6985516
1800,6985515
1801,6985514
1802,6985513
1803,6985512
1804,6985511
1805,6985510
1806,6985509
1807,6985508
1808,6985507
1809,6985506
1810,6985505
1811,6985504
1812,6985503
1813,6985502
1814,6985501
1815,6985500
1816,6985499
1817,6985498
1818,6985497
1819,6985496
1820,6985495
1821,6985494
1822,6985493
1823,6985492
1824,6985491
1825,6985490
1826,6985489
1827,6985488
1828,6985487
1829,6985486
1830,6985485
1831,6985484
1832,6985483
1833,6985482
1834,6985481
1835,6985480
1836,6985479
1837,6985478
1838,6985477
1839,6985476
1840,6985475
1841,6985474
1842,6985473
1843,6985472
1844,6985471
1845,6985470
1846,6985469
1847,6985468
1848,6985467
1849,6985466
1850,6985465
1851,6985464
1852,6985463
1853,6985462
1854,6985461
1855,6985460
1856,6985459
1857,6985458
1858,6985457
1859,6985456
1860,6985455
1861,6985454
1862,6985453
1863,6985452
1864,6985451
1865,6985450
1866,6985449
1867,6985448
1868,6985447
1869,6985446
1870,6985445
1871,6985444
1872,6985443
1873,6985442
1874,6985441
1875,6985440
1876,6985439
1877,6985438
1878,6985437
1879,6985436
1880,6985435
1881,6985434
1882,6985433
1883,6985432
1884,6985431
1885,6985430
1886,6985428
1887,6985427
1888,6985426
1889,6985425
1890,6985424
1891,6985423
1892,6985422
1893,6985421
1894,6985420
1895,6985419
1896,6985418
1897,6985417
1898,6985416
1899,6985415
1900,6985414
1901,6985413
1902,6985412
1903,6985411
1904,6985409
1905,6985408
1906,6985407
1907,6985406
1908,6985405
1909,6985404
1910,6985403
1911,6985402
1912,6985401
1913,6985400
1914,6985399
1915,6985398
1916,6985397
1917,6985396
1918,6985395
1919,6985394
1920,6985393
1921,6985392
1922,6985391
1923,6985390
1924,6985389
1925,6985388
1926,6985387
1927,6985386
1928,6985385
1929,6985384
1930,6985383
1931,6985382
1932,6985381
1933,6985380
1934,6985379
1935,6985378
1936,6985377
1937,6985376
1938,6985375
1939,6985374
1940,6985373
1941,6985372
1942,6985371
1943,6985370
1944,6985369
1945,6985368
1946,6985367
1947,6985366
1948,6985365
1949,6985364
1950,6985363
1951,6985362
1952,6985361
1953,6985360
1954,6985359
1955,6985358
1956,6985357
1957,6985356
1958,6985355
1959,6985354
1960,6985353
1961,6985352
1962,6985351
1963,6985350
1964,6985349
1965,6985348
1966,6985347
1967,6985346
1968,6985345
1969,6985344
1970,6985342
1971,6985341
1972,6985340
1973,6985339
1974,6985338
1975,6985337
1976,6985336
1977,6985335
1978,6985334
1979,6985333
1980,6985332
1981,6985331
1982,6985330
1983,6985329
1984,6985328
1985,6985327
1986,6985326
1987,6985325
1988,6985324
1989,6985323
1990,6985322
1991,6985321
1992,6985320
1993,6985319
1994,6985318
1995,6985317
1996,6985316
1997,6985315
1998,6985314
1999,6985313
2000,6985312
2001,6985311
2002,6985310
2003,6985309
2004,6985308
2005,6985307
2006,6985306
2007,6985305
2008,6985304
2009,6985303
2010,6985302
2011,6985301
2012,6985300
2013,6985299
2014,6985298
2015,6985297
2016,6985296
2017,6985295
2018,6985294
2019,6985293
2020,6985292
2021,6985291
2022,6985290
2023,6985289
2024,6985288
2025,6985287
2026,6985286
2027,6985285
2028,6985284
2029,6985283
2030,6985282
2031,6985281
2032,6985280
2033,6985279
2034,6985278
2035,6985277
2036,6985276
2037,6985275
2038,6985274
2039,6985273
2040,6985272
2041,6985271
2042,6985270
2043,6985269
2044,6985268
2045,6985267
2046,6985266
2047,6985265
2048,6985264
2049,6985263
2050,6985262
2051,6985261
2052,6985260
2053,6985259
2054,6985258
2055,6985257
2056,6985256
2057,6985255
2058,6985254
2059,6985253
2060,6985252
2061,6985251
2062,6985250
2063,6985249
2064,6985248
2065,6985247
2066,6985246
2067,6985245
2068,6985244
2069,6985243
2070,6985242
2071,6985241
2072,6985240
2073,6985239
2074,6985238
2075,6985237
2076,6985235
2077,6985234
2078,6985233
2079,6985232
2080,6985230
2081,6985228
2082,6985227
2083,6985226
2084,6985225
2085,6985224
2086,6985223
2087,6985222
2088,6985221
2089,6985220
2090,6985219
2091,6985218
2092,6985217
2093,6985216
2094,6985215
2095,6985214
2096,6985213
2097,6985212
2098,6985211
2099,6985210
2100,6985209
2101,6985208
2102,6985207
2103,6985206
2104,6985205
2105,6985204
2106,6985203
2107,6985202
2108,6985201
2109,6985200
2110,6985199
2111,6985198
2112,6985197
2113,6985196
2114,6985195
2115,6985194
2116,6985193
2117,6985192
2118,6985191
2119,6985190
2120,6985189
2121,6985188
2122,6985187
2123,6985186
2124,6985185
2125,6985184
2126,6985183
2127,6985182
2128,6985181
2129,6985180
2130,6985179
2131,6985178
2132,6985177
2133,6985176
2134,6985175
2135,6985174
2136,6985173
2137,6985172
2138,6985171
2139,6985170
2140,6985169
2141,6985168
